time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,1.7629230131039176e-07,1.1663612239493645e-06,0.3447901967730883,0.0002640645173217493,6.283124311637213,0.0,1.8689509597235066e-05,0.00010105998576593573,2.3298131571234975,0.01200356463263422,-0.0031318434884141984,0.0
0.12000000000000001,9.42714825848593e-06,4.1891702364790456e-05,0.5538543074027351,0.0010300790253765513,6.282990042019829,0.0,0.0003576996239235329,0.0015716766101116961,4.632703481499002,0.014251565407474793,-0.0005069535470632049,0.0
0.18,4.7852116069561984e-05,0.0002382250485884678,0.8995052705815646,0.0020627168445326305,6.283012652470568,0.0,0.0009224492964905468,0.0053571077630800885,6.878367101875545,0.022554379883024986,0.0020885730050071013,0.0
0.23999999999999996,0.00011589951715300248,0.0007520790980846415,1.3774739767520647,0.0036214652823431948,6.28301287116232,0.0,0.0013165692151106045,0.01233056629242719,9.039473992529478,0.032073214215002505,-0.0045322029324330595,0.0
0.3,0.00021285422763742527,0.001809351531926607,1.9819287860315238,0.005713281074860355,6.282636214530431,0.0,0.0020362026132587905,0.023623696791328502,11.091443192971393,0.03992931725591165,-0.010019788383344124,0.0
0.36000000000000004,0.00038532064737271883,0.003694564963909457,2.705774732826478,0.008213745287182661,6.2819391041573915,0.0,0.003938395387611967,0.039998619687801364,13.016825454967085,0.044953554834817805,-0.01502493021000702,0.0
0.4200000000000001,0.0007232330845188949,0.006720089508706265,3.540988046380291,0.011002451710993455,6.280895986487904,0.0,0.007631873197433492,0.06162043418984578,14.802147766936269,0.04936531129051433,-0.02258202351260617,0.0
0.48000000000000015,0.001352199644257418,0.011195797693643456,4.478919280409247,0.0140987374527759,6.279527512706554,0.0,0.013721592767543844,0.08830113392950205,16.439985385423377,0.05574345484783645,-0.02326350089828843,0.0
0.5400000000000001,0.002421765620693675,0.01741964061006078,5.510616581919222,0.017716933713309402,6.278071160925656,0.0,0.022276393125472343,0.1198912969178562,17.92760299851112,0.06813945096576673,-0.026370976327444482,0.0
0.6000000000000002,0.004073401901849608,0.025691130182487747,6.627079125647086,0.022009969542259533,6.27668959575491,0.0,0.033076317659559616,0.15660101497693635,19.266000200004825,0.07762086094378276,-0.017059081757410832,0.0
0.6600000000000003,0.00641888231589812,0.03632021484490214,7.819473048446179,0.02658055745578647,6.275766563172311,0.0,0.04522034787215675,0.1984211161101646,20.45962090604531,0.07312038728030455,-0.012227837529986076,0.0
0.7200000000000003,0.009508787160320773,0.0495877056665133,9.07933647642463,0.030918444322912464,6.275104943005179,0.0,0.05779654581720284,0.24433365604847265,21.516281366845572,0.07060147435433184,-0.008727257134796279,0.0
0.7800000000000004,0.013352845152383582,0.06570123101014529,10.398760293623107,0.03502543355728527,6.2747257802516145,0.0,0.07029080298476212,0.2931276772525324,22.446454693042757,0.0637582057393019,-0.0018923506445931546,0.0
0.8400000000000004,0.0179300926275919,0.08479899947043444,11.770445107931906,0.03862830000868289,6.274948065795719,0.0,0.0821306485967674,0.3436297502003,23.259923594502702,0.05134590840075349,0.013041909051462203,0.0
